item_id,frame_id,gt_index,mask_iou,normalized_mssd,mspd_px
s000010-i000000-p000001,s000010-i000000,1,0.8950499762018087,0.03961890776890877,3.1611240944962327
s000010-i000000-p000000,s000010-i000000,4,0.8845878136200717,0.06208039622162331,5.601101561225624
s000010-i000000-p000008,s000010-i000000,33,0.8474347434743474,0.09572172158100367,5.868765223094242
s000010-i000000-p000002,s000010-i000000,32,0.8393876491956409,0.05741022173195166,4.8309706120265155
s000010-i000000-p000004,s000010-i000000,25,0.8326885880077369,0.06121685632483181,5.181993776897517
s000010-i000000-p000025,s000010-i000000,15,0.8313713949381989,0.06164375994643182,5.338982292642897
s000010-i000000-p000013,s000010-i000000,31,0.8151201130475741,0.05415286524271471,3.5805738029884453
s000010-i000000-p000029,s000010-i000000,24,0.8093774019984628,0.04823087727096944,3.5453974282921794
s000010-i000000-p000014,s000010-i000000,16,0.7971155720132528,0.04535472966834448,4.545244260628009
s000010-i000000-p000035,s000010-i000000,29,0.7867920402361688,0.07671549738768758,6.7521776109550755
s000010-i000000-p000028,s000010-i000000,35,0.7854736842105263,0.05037956712130206,4.027533465131677
s000010-i000000-p000016,s000010-i000000,5,0.782020389249305,0.06464341490835554,2.900204229412241
s000010-i000000-p000010,s000010-i000000,8,0.7819861431870669,0.0696807452512746,6.097458887801819
s000010-i000000-p000020,s000010-i000000,17,0.7783691718117948,0.038231719949104175,3.534587085237354
s000010-i000000-p000019,s000010-i000000,23,0.74086310138344,0.05143518815810455,4.276318952407795
s000010-i000000-p000022,s000010-i000000,3,0.7348665654154914,0.044203247872657905,4.199877268959022
s000010-i000000-p000015,s000010-i000000,26,0.728843710292249,0.08029503996940075,5.038050352785854
s000010-i000000-p000018,s000010-i000000,18,0.7131228906094897,0.05469291896168125,2.896123900603967
s000010-i000000-p000011,s000010-i000000,11,0.7101619338183525,0.06155963157571115,5.459255434448986
s000010-i000000-p000005,s000010-i000000,0,0.7048232573505121,0.06019270035393235,4.332804237807116
s000010-i000000-p000012,s000010-i000000,10,0.6980909269828773,0.061382803490695595,4.194359125235154
s000010-i000000-p000032,s000010-i000000,19,0.696219323457882,0.03761480956226267,3.1432961507386405
s000010-i000000-p000023,s000010-i000000,27,0.6919231781110234,0.051780695920377685,4.4478854196505155
s000010-i000000-p000024,s000010-i000000,2,0.6886314265025344,0.07521108249156673,4.338537387104162
s000010-i000000-p000026,s000010-i000000,20,0.6774522292993631,0.05453789653209855,3.808519219423833
s000010-i000000-p000007,s000010-i000000,7,0.6764966740576497,0.06380840706328725,4.520453715777983
s000010-i000000-p000006,s000010-i000000,9,0.6595482546201232,0.060261713378030504,5.496343162267277
s000010-i000000-p000017,s000010-i000000,12,0.6569012976799056,0.07174432136423774,4.27077444066036
s000010-i000000-p000009,s000010-i000000,14,0.6321863197650021,0.045185275968031985,4.2106012541894415
s000010-i000000-p000003,s000010-i000000,34,0.6056710775047259,0.04485455520254758,3.836572276633588
s000010-i000000-p000027,s000010-i000000,13,0.5772921108742004,0.048028986565748895,4.002115155520667
s000010-i000010-p000003,s000010-i000010,33,0.8894984326018809,0.05342085137451881,4.455497210167353
s000010-i000010-p000020,s000010-i000010,16,0.8717081420633003,0.05309240813321484,4.498955749090065
s000010-i000010-p000000,s000010-i000010,25,0.8654545454545455,0.05090149712772191,4.593934528169786
s000010-i000010-p000002,s000010-i000010,3,0.8646907216494846,0.038449860174555595,3.368474276387838
s000010-i000010-p000022,s000010-i000010,24,0.844061876247505,0.043740496132506405,2.9018271307194756
s000010-i000010-p000004,s000010-i000010,30,0.8114199849737039,0.053236368583909684,4.029395595211758
s000010-i000010-p000028,s000010-i000010,19,0.7880515617253346,0.04514670392551827,3.2635967225655995
s000010-i000010-p000033,s000010-i000010,21,0.7757725587144623,0.054799720309197705,4.296619530373712
